Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],$Context,$Status
Science/TechNodes/Descriptions/tNode_0v_utility,Text,,"Landing legs on a spacecraft, what a marvelous idea!","Un train d'atterrissage sur un vaisseau, en voilà une idée géniale !",Carrelli di atterraggio su un veicolo spaziale: un'idea magnifica!,"Landebeine an einem Raumfahrzeug, was für eine tolle Idee!",¡Qué idea tan maravillosa la de poner patas de aterrizaje a una nave!,宇宙船に着陸脚、なんて素晴らしいアイディアだ！,우주선의 랜딩레그는 정말이지 놀라운 아이디어입니다!,"Nogi dla statku kosmicznego, cóż za wspaniały pomysł!",Посадочные опоры для корабля! Гениально!,航天器的着陆支架，真是奇思妙想！,"Pernas de aterrissagem em uma espaçonave, que ideia sublime!",太空船上的著陸架，真是個了不起的主意！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_aero_01,Text,,"Reaction wheels use small gyroscopes to help provide stability without the use of thrusters. It would take too long to explain how something spinning at high speed can hold a ship perfectly still, but trust us, these things really work wonders!  ",Neuf pilotes sur dix aiment pouvoir contrôler leur vaisseau.,Nove piloti su dieci preferiscono avere controllo del proprio veicolo.,"Neun von zehn Piloten mögen es, wenn sie ihr Fahrzeug steuern können.",A nueve de cada diez pilotos les gusta controlar su nave.,パイロットの10人に9人は自分の機体の操縦が好きなものです。,조종사의 열 중 아홉은 조종을 좋아합니다.,"Dziewięciu na dziesięciu pilotów lubi, gdy statkiem można sterować.",Девять из десяти пилотов любят управлять своим кораблем.,飞行员十之八九都喜欢将机体掌控在自己的手中。,Nove a cada dez pilotos gostam de ter o controle da nave.,九成飛行員喜歡操控他們的飛行器。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_aero_02,Text,,Flying sideways is fun!,C'est toujours drôle de voler sur le côté !,Volare di lato è divertente!,"Seitlich zu fliegen, macht Spaß!",¡Volar de lado es la bomba!,横に飛ぶって楽しいね！,옆으로 나는 건 재밌어요!,Latanie w bok jest super!,Летать боком — это весело!,侧着飞很有趣！,Voar de lado é divertido!,側向飛行真有趣！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_aero_03,Text,,Technology designed to make anyone look like a good pilot.,Une technologie conçue spécialement pour faire passer n'importe qui pour un pilote acceptable.,Tecnologia progettata per far sembrare chiunque un bravo pilota.,"Technologie, die jeden wie einen guten Piloten dastehen lässt.",Tecnología diseñada para que parezca que cualquiera es buen piloto.,誰でも素晴らしいパイロットに見えるようにしてくれる技術。,누구나 훌륭한 조종사처럼 보이도록 설계된 기술입니다.,"Technologia, której zadaniem jest sprawić, by każdy wyglądał na dobrego pilota.","Эта технология предназначена для того, чтобы каждый мог притвориться хорошим пилотом.",能让你看起来更有飞行员范儿的技术。,Tecnologia criada para fazer qualquer pessoa parecer que pilota bem.,這項技術專門設計來讓任何人看起來都像優秀的飛行員。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_construction_01,Text,,Stuff to build stuff.,Je construis des trucs et les gens voient que je construis des trucs.,Roba per costruire altra roba.,"Zeug, um Zeug zu bauen.",Cosas para construir cosas.,モノを作るためのモノ。,물건을 만드는 물건입니다.,Rzeczy do budowania rzeczy.,"Штуки, из которых делают другие штуки.",用来建造东西的东西。,Uns troços para você construir uns troços.,建造東西的材料。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_decouplers_01,Text,,"When you need to say goodbye, do it with explosions.",Au revoir ? Dites-le avec des explosions !,"Quando è arrivato il momento di dire addio, fallo con delle esplosioni.","Wenn man sich schon verabschieden muss, dann mit Explosionen.","Si tienes que despedirte, que sea haciendo saltar cosas por los aires.",さよならを言わなきゃいけないときは、爆発と一緒にどうぞ。,작별을 고할 때가 온다면 폭발로 작별 인사를 해보세요.,"Gdy musisz się z czymś pożegnać, niech to będzie wybuchowe pożegnanie.","Если нужно попрощаться, пусть прощание пройдет под грохот взрывов.",当你需要说再见时，用爆炸来告别。,"Quando você precisa dizer adeus, diga com explosões.",需要告別時，就用爆炸來告別。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_docking_01,Text,,"Connecting two ships together, or docking, is a cornerstone technology, and essential to our space program. Having the ability to dock two or more ships opens up all kinds of possibilities to transfer crew, fuel, and especially snacks, between ships.","Faire s'amarrer deux vaisseaux dans l'espace ? Mais oui, ça va bien se passer.",Collegare due veicoli nello spazio: cosa potrà mai andare storto?,"Zwei Raumfahrzeuge im Weltraum verbinden, was sollte da schon schiefgehen?",¿Conectar dos naves en el espacio? ¿Qué podría salir mal?,宇宙で2つの宇宙船をつなぐ。失敗なんてあり得ないでしょ？,"우주공간에서 두 개의 기체를 연결할 때, 뭐가 걱정인가요?",Łączenie dwóch statków w kosmosie? Co może pójść nie tak?,Стыковка двух аппаратов в космосе? Что может пойти не так?,连接太空中的两艘航天器，能出什么岔子呢？,"Conectar duas naves no espaço, tem como não dar certo?",在太空中連接兩艘載具，可能會出什麼狀況？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_electronics_01,Text,,"When it comes to electrical efficiency, nothing beats a well-designed solar panel. These ingenious devices convert sunlight into electricity that can be used to run equipment and also recharge a craft’s batteries. Admit it, we all hate it when the lights go out.",Des pièces pour garder la lumière allumée la nuit.,Parti per non restare a secco.,"Teile, die helfen, dass nachts das Licht nicht ausgeht.",Piezas que sirven para mantener las luces encendidas por la noche.,夜間に明かりをつけておくためのパーツ。,밤에 불을 밝히는 데 도움이 될 부품입니다.,Części zapewniające oświecenie.,"Детали, благодаря которым ночью не погаснет свет.",用来维持夜间照明的部件。,Peças para ajudar a manter as luzes acessas à noite.,保持夜間照明的零件。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_electronics_02,Text,,"Antennas are devices designed to transmit and receive radio signals and are a key component for our space center. By investing in better antenna technology, we are able to extend the range we can communicate to even the most distant planets. Impressive, isn’t it?",Abandonnez-vous aux robots.,Affidati completamente ai robot.,Vertraue auf die Roboter.,Confía en los robots.,自分をロボットに託そう。,로봇에 여러분을 맡겨보세요.,Zaufaj robotom.,Доверьтесь роботам.,全身心地相信机器人。,Deixe a sua vida nas mãos dos robôs.,把自己交給機器人吧。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_electronics_03,Text,,Who needs a crew?,Un équipage ? Pour quoi faire ?,A chi serve un equipaggio?,Wer braucht schon eine Crew?,¿Quién necesita tripulación?,乗組員なんて必要？,누가 승무원이 필요하답니까?,Na co komu załoga?,Кому нужен экипаж?,谁还需要乘员呢？,Quem precisa de tripulação?,誰需要機組人員？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_electronics_04,Text,,"This technology explores the idea of deployable and retractable solar panels, which offer a substantial boost in protection during dangerous ascents and descents through an atmosphere. The protective covers are also quite stylish.",Des pièces électriques plus grosses et plus efficaces. Attention à ne pas vous électrocuter.,Parti elettriche più grandi e migliori. Cerca di non prendere la scossa.,"Größere und bessere Elektroteile. Pass auf, dass du dir keinen Schlag einfängst.",Piezas eléctricas más grandes y mejores. Procura no electrocutarte.,より大きくて優れた電力パーツ。感電しないようにしてください。,더 크고 더 좋은 전기 부품입니다. 감전되지 않도록 주의하세요.,"Większe i lepsze części elektryczne. Uwaga, kopie!","Большие улучшенные электрические детали. Следите, чтобы вас не ударило током.",更大、更好的电子部件。当心别触电。,Peças elétricas maiores e melhores. Cuidado para não levar um choque.,更大且更好的電子零件。小心別觸電。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_monoprop,Text,,Parts designed to physically shove your craft around.,Des pièces conçues pour pousser votre vaisseau à droite et à gauche.,Parti progettate per scarrozzare in giro il tuo veicolo.,"Teile, die deine Fahrzeuge physisch herumschieben.",Piezas diseñadas para dar un empuje físico a tu nave.,機体を物理的に押しやるためのパーツ。,여러분의 기체를 물리적으로 밀어내도록 설계된 부품입니다.,Części przeznaczone do przesuwania statków.,"Детали, предназначенные для того, чтобы толкать ваш аппарат из стороны в сторону.",用来把你的航天器推来推去的部件。,Peças criadas para fisicamente enfiar a sua nave por aí.,設計用來推動飛行器的零件。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_payload,Text,,"Investing in payload technology will help us better protect sensitive equipment and cargo, such as electronics, scientific equipment, and most important, snacks. Payload fairings can even help improve aerodynamics and reduce drag during take-off. And make your ship look cooler.","L'équipage veut emporter des chips... Pardon, des expériences scientifiques.","L'equipaggio vuole portare delle merendine... Oh, volevamo dire ""attrezzatura per esperimenti"".","Die Crew will Snacks mitnehmen ... Äh, wissenschaftliche Experimente natürlich.","La tripulación quiere traerse aperitivos... Ah, quiero decir, experimentos científicos.",乗組員がおやつを持って行きたがっています… あ、じゃなくて実験装置です。,"승무원이 스낵을 가져왔으면 하던데... 아, 제 말은 과학 실험이요.",Załoga chce zabrać dużo przekąsek... To znaczy przyrządów naukowych.,"Экипаж хочет взять с собой вкусняшки... Ой, ну, то есть научное оборудование.",乘员想要带上零食……呃，我们是说科学实验啦。,"A tripulação quer levar lanches nas viagens... Digo, experimentos científicos.",機組人員想帶零食…哦，我們是指科學實驗。,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_rockets_01,Text,,"With radial decouplers, we will be able to attach fuel tanks and engines to the sides of our craft, then discard them once they're empty, significantly increasing the thrust and range of our vessels. Pretty cool, huh?",Ce qui monte peut maintenant monter plus haut.,Ciò che sale ora sale ancora di più.,"Was nach oben geht, kann noch höher fliegen.",Lo que sube ahora puede hacerlo más alto.,上に上がったものは、もっと上へと上がっていけます。,올라가는 것은 더 높이 올라갈 수 있습니다.,"Co poszło w górę, teraz może iść jeszcze wyżej.","Что поднимается вверх, то может подняться еще выше.",能飞的现在能飞更高。,Tudo que sobe agora pode subir mais ainda.,能往上飛的東西現在能飛得更高。,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_rockets_02,Text,,"A solid rocket booster, or SRB, is a powerful engine with fuel already built in. They are quite useful for providing a huge amount of thrust during the start of a launch, particularly with 2 or more radially attached. Because more power equals more fun, right?",Un petit coup de boost peut vous emmener très loin.,Una piccola spinta può portare lontano.,Ein kleiner Schub kann große Wirkung haben.,Un empujoncito ayuda mucho.,ちょっとしたブーストで遠くまで行けます。,작은 부스터로 훨씬 멀리 갈 수 있어요.,Niewielki impuls może wiele zdziałać.,Даже маленький ускоритель может принести огромную пользу.,一点小小的推力就能走得很远。,Um empurrãozinho não faz mal.,稍微加速就能飛很遠。,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_rockets_03,Text,,"With this technology we will explore advances in Specific Impulse, or ISP. Engines with high specific impulse are not always as powerful as lower ISP engines, but are more efficient and consume less fuel, making them quite useful in low gravity environments like space. ",Plus de boosters !,Più spinta!,Meeeehr Booster!,¡Más aceleración!,モアブースター！,더어 많은 부스터어!,Wincy silników pomocniczych!,Больше ускорителей!,更多的推力！,Mais boosteeeers!,更多助推器！,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_rockets_04,Text,,Because landing safely might be fun.,Pour que les atterrissages réussis soient eux aussi rigolos.,Atterrare in sicurezza potrebbe essere divertente.,"Sicher zu landen, könnte lustig sein.",Porque aterrizar de forma segura puede ser divertido.,安全な着陸は楽しいかもしれないから。,안전하게 착륙하는 것이 재미있을 수도 있으니까요.,Bezpieczne lądowanie może być zabawne.,Безопасная посадка — это весело.,因为安全着陆也许会很有趣。,Porque pousar em segurança talvez seja divertido.,因為安全降落可能很有趣。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_rover,Text,,"When it’s time to explore the surface of a planet, a rover is a Kerbalnaut’s best friend. These wheeled vehicles can be designed for any and all types of conditions and make traveling to alien terrains both convenient and fun.",C'est beaucoup trop long à pied.,Camminare richiede troppo tempo.,Zu Fuß dauert einfach alles zu lange.,Se tarda horrores en ir andando.,歩き回るのは時間がかかりすぎます。,돌아다니면 너무 오래 걸려요.,Gdy na piechotę za daleko.,Ходить пешком слишком долго.,徒步行走太费时间了。,Ir andando demora demais.,走路太花時間了。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_science_01,Text,,"With the environment scanner module equipped, your vessel will be able to gather more detailed reports from all over the Kerbollar system, which will translate to even more delicious blue science points for every fascinating new location you discover and explore.",De la science ! Ouais !,La scienza è divertente!,Wissenschaft macht Spaß!,¡La ciencia es diversión!,サイエンスは楽しい！,과학은 재밌어요!,Nauka jest super!,Наука — это интересно!,科学真有趣！,A ciência é divertida!,科學很有趣！,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_science_02,Text,,When you really want to know what's going on around you.,Quand vous voulez vraiment savoir ce qui se passe autour de vous.,Quando vuoi davvero scoprire cosa succede intorno a te.,"Wenn du unbedingt wissen willst, was um dich herum passiert.",Cuando quieres enterarte de lo que está pasando a tu alrededor.,自分の周りで何が起こっているのか知りたいときに。,주변에서 무슨 일이 일어나는지 정말 알고 싶을 때.,"Gdy naprawdę chcesz wiedzieć, co się dzieje dookoła.","Если вы очень хотите знать, что происходит вокруг.",当你真正想对身边的世界有所认知时。,Quando você realmente quer saber o que está acontecendo ao seu redor.,當你真的想了解周圍發生的事情時。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_start,Text,,"This is the first step from firework rockets to real rockets. Fly safe, Kerbalnaut.","La première étape pour passer des feux d'artifice aux fusées. Bon vol, kerbonaute.","Il primo passo dai razzi pirotecnici verso i razzi veri. Buon volo, kerbonauta.","Das ist der erste Schritt von Feuerwerksraketen zu echten Raketen. Einen guten Flug, Kerbalnaut.","Este es el primer paso de los cohetes de fuegos artificiales a los cohetes de verdad. Que tengas un buen vuelo, kerbonauta.",これがロケット花火から本物のロケットへの最初の一歩です。安全な飛行を祈る、カーバル宇宙飛行士よ。,"폭죽 로켓에서 실제 로켓으로 넘어가는 첫 걸음입니다. 안전 비행하세요, 우주비행사 여러분.","To pierwszy krok na drodze od fajerwerków do prawdziwych rakiet. Bezpiecznych lotów, kerbalonauto.","Первый шаг на пути от фейерверков к настоящим ракетам. Счастливого полета, кербонавт.",这是从烟花火箭迈向真正火箭的第一步。祝飞行顺利，坎巴拉航空人。,"Esse é o primeiro passo dos fogos de artifício para os foguetes. Voe em segurança, Kerbonauta.",這是從煙火火箭到真正火箭的第一步。安全飛行，坎巴拉太空人。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_trusses,Text,,"They’re trusses, not girders!","C'est des structures de maintien, pas des poutres !","Sono travature, non travi!","Das sind Traversen, keine Träger!","¡Son armazones, no vigas!",これはトラスです、桁ではなくて！,대들보가 아니라 트러스입니다!,"To kratownice, nie dźwigary!","Это фермы, а не балки!",它们是桁架，不是大梁！,"São treliças, não vigas!",它們是桁架，而不是樑！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_utility_01,Text,,"Researching survivability will help us to understand and build highly resistant heat shields for our craft. These are especially useful for re-entry into an atmosphere, where temperatures can climb high enough to roast marshmallows, along with the rest of your ship!",Pour des rentrées atmosphériques moins dangereuses.,Per un rientro leggermente più sicuro!,So wird der Wiedereintritt etwas sicherer!,¡Para que las reentradas sean un poco más seguras!,再突入をもうちょっと安全にします！,재진입을 더 안전하게!,Niech powrót do atmosfery będzie bezpieczniejszy.,Пусть вход в атмосферу станет чуть менее опасным!,使再入更安全一点！,Tornando a reentrada um pouco mais segura!,讓重返大氣層更安全！,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_1v_utility_02,Text,,Ways to escape when things go horribly wrong.,"Quand tout va mal, pensez F-U-I-T-E !",Vie di fuga quando la situazione si fa disperata.,"Fluchtmöglichkeiten, wenn etwas ganz furchtbar schiefgeht.",Maneras de huir cuando la cosa se pone bien chunga.,物事が恐ろしくうまく行かないときに逃げ出す方法。,심각한 상황에서 살아남기.,"Jak uciec, gdy wszystko się pop...suje.","Способы спастись в тех случаях, когда все пошло не так.",危难中逃生的方法。,Maneiras de escapar quando as coisas derem muito errado.,事態變得很糟糕時的逃生方法。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_1v_xenon,Text,,"Ion powered engines are a breakthrough technology. They have very little thrust, but the specific impulse is unparalleled, making them extremely useful for small exploration probes. They also emit a beautiful blue glow, so what’s not to like?",Plus dur à prononcer qu'à construire.,Più difficile da pronunciare che da costruire.,Schwerer auszusprechen als zu bauen.,Es más difícil de pronunciar que de construir.,作るよりも発音する方が難しい。,사용하는 것보다 발음하는 것이 더 어렵습니다.,Trudniej wymówić niż zbudować.,"Выговорить их название труднее, чем их сделать.",念起来拗口的程度比建造还难。,É mais difícil de pronunciar do que de construir.,比建造還難發音。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_aero_01,Text,,A faster engine and a way to slow down before landing? What a treat!,Un propulseur plus rapide et un outil de freinage avant atterrissage ? Super !,Un motore più potente e un modo per rallentare prima dell'atterraggio? Che affare!,"Ein schnelleres Triebwerk und eine Möglichkeit, vor der Landung abzubremsen? Das ist ja toll!",¿Un motor más rápido capaz de desacelerar antes de aterrizar? ¡Qué chollazo!,もっと速いエンジンと、着陸前に減速する方法？ なんて素晴らしい！,"더 빠른 엔진, 그리고 착륙 전에 속도를 줄이는 방법? 너무 좋아요!",Szybszy silnik i sposób na spowolnienie przed lądowaniem? Ale cacko!,Более быстрый двигатель и способ затормозить перед посадкой? Вот это подарок!,更快的引擎和着陆前减速的方法？多么美妙啊！,Um motor mais rápido e uma maneira de desacelerar antes de pousar? Demais!,更快的引擎和著陸前的減速方法？真是太棒了！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_aero_02,Text,,It's surprising how fast these parts can make your craft look!,C'est fou comme ces pièces donnent un air rapide à votre vaisseau !,È sorprendente quanto queste parti riescano a far sembrare veloce il tuo veicolo!,"Erstaunlich, wie schnell diese Teile dein Fahrzeug erscheinen lassen können!",¡Es sorprendente lo rápidas que pueden parecer las naves con estas piezas!,これらのパーツのおかげで機体がどれほど速そうに見えることか、びっくりさせられます。,이 부품들이 여러분의 기체를 얼마나 빨라 보이게 만드는지 놀랍군요!,"Te części sprawiają, że twój statek wygląda na naprawdę szybki!",Благодаря этим деталям ваш корабль выглядит таким стремительным!,这些部件能让你的载具看起来非常快，真令人惊讶！,É impressionante como essas peças fazem a sua nave parecer mais rápida!,這些零件能讓你的飛行器看起來如此迅速，真是令人驚訝！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_aero_03,Text,,More stuff to carry more stuff.,Plus de trucs pour transporter plus de trucs.,Altra roba per trasportare altra roba.,"Mehr Zeug, um noch mehr Zeug transportieren zu können.",Más cosas para cargar más cosas.,より多くのモノを運ぶためのより多くのモノ。,더 많은 물건을 운반하기 위한 물건입니다.,"Więcej rzeczy, by pomieścić więcej rzeczy.",Новые штуки для перевозки других штук.,更多让你携带更多东西的东西。,Mais troço para transportar mais troço.,更多裝載更多物品的空間。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_2v_construction_01,Text,,A lot more things to build a lot more things.,Beaucoup plus de machins pour construire beaucoup plus de machins.,Molte altre cose per costruire molte altre cose.,"Jede Menge Sachen, um mehr Sachen zu bauen.",Muchas más cosas para construir muchas más cosas.,もっといろいろ作るためのもっといろいろなモノ。,더 많은 것들을 만들기 위한 더 많은 것들입니다.,"Dużo więcej rzeczy, by zbudować dużo więcej rzeczy.",Куча новых штук для создания другой кучи новых штук.,更多让你建造更多东西的东西。,Muitas outras coisas para construir muitas outras coisas.,用於建造更多東西的更多東西。,Tech Node Description,Ready to Test
